Instrument,ISIN,Mnemonic
EMPR.DIS.Y COM.N.B ADR/20,US29244A1025,PWD1
ENEL GENERACION CL ADR/30,US29244T1016,EPN
ENABLE MIDSTREAM PART.UTS,US2924801002,18E
ENBRIDGE EN. PREF.UTS,US29250R1068,49EA
ENBRIDGE EN. MGMT LLC,US29250X1037,EE7
"ENANTA PHARMA.INC. DL-,01",US29251M1062,9EP
"ENCORE CAP.        DL-,01",US2925541029,ECP
"ENCORE WIRE CORP.  DL-,01",US2925621052,EW3
"ENERGEN CORP.      DL-,01",US29265N1081,EEG
ENEL S.P.A. ADR      EO 1,US29265W2070,ENLA
"ENDOLOGIX         DL-,001",US29266S1069,RM1
ENERGY FOCUS INC. DL-0001,US29268T3005,FI41
"ENDOCYTE INC.     DL -,01",US29269A1025,9EY
"ENERGIZER RESOURC.DL-,001",US29269X1028,YE5
"ENERGY RECOVERY  DL -,001",US29270J1007,5E2
ENDUR.INTL GR.HOL.DL-0001,US29272B1052,EI0
"ENERGOUS CORP.  DL-,00001",US29272C1036,116
"ENERGIZER HLDG.NEW DL-,01",US29272W1099,EGG
ENERGY TRANSF.PARTN. L.P.,US29273R1095,4ETA
ENERGY TRNSFR EQUITY L.P.,US29273V1008,48E
ENEL AMERICAS SA ADR/50,US29274F1049,NER
"ENERSYS            DL-,01",US29275Y1029,FDN
"ENERNOC INC.      DL-,001",US2927641074,EN9
"ENERTOPIA CORP.   DL-,001",US29277Q1076,1E8
ENEL CHILE SA ADR REGS/50,US29278D1054,355
"ENGILITY HLDGS     DL-,01",US29286C1071,5EH
ENGIE ADR/1 EO 1,US29286D1054,GZFB
ENGIE BRASIL ENER. ADR 1,US29286U1079,7TE1
"ENGLOBAL          DL-,001",US2933061069,4EG
ENLINK MIDSTREAM UTS,US29336T1007,0E41
ENLINK MIDSTREAM PART.,US29336U1079,XTE
"ENPHASE ENERGY INC.DL-,01",US29355A1079,E0P
"ENPRO INDUSTRIES   DL-,01",US29355X1072,EP9
"ENOVA INTL INC.    DL-,01",US29357K1034,27E
"ENSIGN GROUP INC. DL-,001",US29358P1012,EGB
ENSYNC INC.,US29359T1025,ZB31
"ENTEGRIS INC.      DL-,01",US29362U1043,ENQ
"ENTELLUS MEDICAL  DL-,001",US29363K1051,29E
"ENTERGY CORP.      DL-,01",US29364G1031,ETY
"ENTEROMEDICS      DL -,01",US29365M5058,BY8E
ENTERPRISE PRODS PART.,US2937921078,EPD
"ENTRAVISION    A DL-,0001",US29382R1077,EV9
"ENTERT.GAM.AS.NEW DL-,001",US29383V3050,UZ1B
"ENZON PHARMACEUT.  DL-,01",US2939041081,EZ1
"ENVESTNET INC.    DL-,005",US29404K1060,30E
"ENZO BIOCHEM. INC. DL-,01",US2941001024,EZB
"EPAM SYSTEMS INC. DL-,001",US29414B1044,E3M
"ENVIVA PARTNERS LP DL-,10",US29414J1079,2NV
"EPLUS INC.         DL-,01",US2942681071,MLE
"EPIZYME INC.    DL -,0001",US29428V1044,EPE
"EQUIFAX INC.      DL 1,25",US2944291051,EFX
"EQUINIX INC.      DL-,001",US29444U7000,EQN2
EQUITY COMMONW. SBI DL-01,US2946281027,HP5A
"EQUITY LIFESTYLE P.DL-,01",US29472R1086,MHV
"EQUITY ONE INC.    DL-,01",US2947521009,EQI
"EQUITY RESI. SBI   DL-,01",US29476L1070,EQR
ERICSSON B ADR,US2948216088,ERCA
"ERIN ENERGY        DL-,01",US2956251076,U8P2
ESCALADE INC.,US2960561049,ED9
ESCO TECH.,US2963151046,ET7
ESPER.THERAP.(NEW) DL-001,US29664W1053,0ET
"ESPRIT HLDGS ADR/2 HD-,10",US29666V2043,ESHA
ESSENDANT INC.      DL-10,US2966891028,US3
"ESSEX PROP. TR.  DL-,0001",US2971781057,EXP
"ESTERLINE TECHS   DL -,20",US2974251009,ETZ
"ETHAN ALLEN INTER. DL-,01",US2976021046,ETH
ETALON GROUP GDR REGS 1,US29760G1031,2ET
"ETSY INC.         DL-,001",US29786A1060,3E2
"EURONET WW.        DL-,02",US2987361092,EEF
EVER-GLORY INTL NEW,US2997662042,E4GA
"EVERCORE PRTNR  A DL -,01",US29977A1051,QGJ
"EVERBANK FINANCIAL DL-,01",US29977G1022,3B5
"EVERBRIDGE INC    DL-,001",US29978A1043,2E7
"EVERI HLDGS INC.  DL-,001",US30034T1034,G2C
EVERSOURCE ENERGY    DL 5,US30040W1080,NWJ
"EVERSPIN TECHN. DL -,0001",US30041T1043,E5N
"EVINE LIVE A       DL-,01",US3004871055,VVI
"EVOLUTION PETROL. DL-,001",US30049A1079,EP7
"EVOKE PHARMA INC.DL-,0001",US30049G1040,EV0
"EVOLENT HEALTH A   DL-,01",US30050B1017,9EH
EVOTEC AG ADR/2 O.N.,US30050E1055,EVTA
"EXACT SCIEN.       DL-,01",US30063P1057,EXK
"EXAR CORP.      DL-,0001",US3006451088,EXA
EXELON CORP.,US30161N1019,PEO
"EXELIXIS INC.      DL-,01",US30161Q1040,EX9
"EXLSERVICE HLDGS  DL-,001",US3020811044,LHV
"EXONE CO., THE     DL-,01",US3021041047,2EX
"EXPEDIA INC.     DL-,0001",US30212P3038,E3X1
EXPEDITORS INTL WASH.DL01,US3021301094,EW1
"EXPONENT INC.   DL -,0001",US30214U1025,EP5
"EXPRESS INC.       DL-,01",US30219E1038,02Z
EXPRESS SCRIPTS HLDG,US30219G1085,4XS
EXTENDED STAY PA.C.1S.1B,US30224P2002,EA71
"EXTRA SPACE ST.SBI DL-,01",US30225T1025,FG8
"EXTREME NETWORKS  DL-,001",US30226D1063,EXM
"EXTERRAN CORP      DL-,01",US30227H1068,2E2
"EXTRACTION OIL+GAS DL-,01",US30227M1053,EH4
"EZCORP INC. A      DL-,01",US3023011063,EZ2A
EXXON MOBIL CORP.,US30231G1022,XONA
"FLIR SYS INC.      DL-,01",US3024451011,FL4
"FMC CORP.          DL-,10",US3024913036,FMQ
"FMC TECHNOLOGIES   DL-,01",US30249U1016,FMH
"F.N.B. CORP.      DL -,01",US3025201019,FN2
"FCB FINAN.HLDGS A DL-,001",US30255G1031,F15A
FS INVESTMENT CORP.DL-001,US3026351078,FS5
"FXCM INC. A       DL -,01",US3026932059,YFX1
"FTD COS INC.       DL-,01",US30281V1089,FCZ
"FTI CONSULTING     DL-,01",US3029411093,FCQ
"FACEBOOK INC.A DL-,000006",US30303M1027,FB2A
"FACTSET RESH SYS   DL-,01",US3030751057,FA1
"FAIR ISAAC CORP.   DL-,01",US3032501047,FRI
"FAIRMO.SANTR.HLDGS DL-,01",US30555Q1085,FM1
"FAIRPOINT COMM.NEW DL-,01",US3055603027,FONN
"FALCONSTOR        DL-,001",US3061371007,NP3
FANG HOLDINGS ADR A 1,US30711Y1029,0US
FANHUA INC. ADR/20,US30712A1034,4CIA
FANUC CORP. ADR 1/10,US3073051027,FUCA
FARMER BROS CO.      DL 1,US3076751086,FB1
"FARO TECHS INC.   DL-,001",US3116421021,FT1
"FATE THERAPEUTICS DL-,001",US31189P1021,F6T
"FASTENAL CO.       DL-,01",US3119001044,FAS
FEDERAL AGRICULTURAL C,US3131483063,A35
FED. HOME LN MTGE O.N.,US3134003017,FHL
FEDERAL-MOGUL HLDGS DL-01,US3135494041,FMOA
FED. RLTY INV. TRUST SBI,US3137472060,WX2
FED. SIGNAL CORP.    DL 1,US3138551086,FSG
FEDERATED INVESTORS (PA.),US3142111034,3KC
"FEDEX CORP.        DL-,10",US31428X1063,FDX
"FELCOR LODGING TR. DL-,01",US31430F1012,FCS
"FEMALE HEALTH CO.  DL-,01",US3144621022,FMW
"FENIX PARTS INC.  DL-,001",US31446L1008,9FP
FERRELLGAS PARTS UTS DL 1,US3152931008,FEG
FERRO CORP.          DL 1,US3154051003,FR9
F5 NETWORKS INC. O.N.,US3156161024,FFV
"FIBROCELL SCIE.NEW DL-,01",US3157212099,23F
"FIBROGEN INC.      DL-,01",US31572Q8087,1FG
FIBRIA CELULOSE ADR 1,US31573A1097,VCLC
"FIDELITY+GUAR.LIFE DL-,01",US3157851052,FGY
FIDELITY NATL INF. SVCS,US31620M1062,ZGY
FIDELITY NATL FINL. FNF,US31620R3030,F1EF
FIDELITY NATL FINL.FNFV,US31620R4020,F1EV
"FIELDPOINT PETROL. DL-,01",US3165701000,F4Y
"FIESTA REST.GRP    DL-,01",US31660B1017,F4R
FIFTH THIRD BANCORP,US3167731005,FFH
"FIFTH STREET FIN.  DL-,01",US31678A1034,FFC
58.COM ADR CL.A2/DL-00001,US31680Q1040,58QA
51JOB INC.  ADR,US3168271043,IWQ
FINANCIAL ENGINES DL-0001,US3174851002,3FE
"FINISAR CORP. DL -,001",US31787A5074,FISN
"FINISH LINE INC. A DL-,01",US3179231002,TF3A
"FIREEYE INC.     DL-,0001",US31816Q1013,F9E
"FIRST ACCEP. CORP. DL-,01",US3184571087,FXW
FIRST AMERN FIN. CORP.,US31847R1023,Y1F
FIRST CITIZ.BCSHS A   DL1,US31946M1036,FC6A
FIRST COMMONW. FINL  DL 1,US3198291078,FCF
1ST CONSTITUTION BANCORP,US31986N1028,1JB
"FIRST DATA CORP. DL-,01",US32008D1063,1DT
FIRST FINL BANCORP,US3202091092,FI5
"FIRST FOUNDATION  DL-,001",US32026V1044,8F1
"FIRST HORIZON NAT.DL-,625",US3205171057,FT2
"1ST HAWAIIAN INC.  DL-,01",US32051X1081,1HI
FIRST IND.REALTY TR.DL-01,US32054K1034,F5W
FRST INTERSTATE BANCSYS A,US32055Y2019,4FB
FIRST MIDW.BANC.DEL.DL-01,US3208671046,FM6
FIRST NBC BK HLDG CO. DL1,US32115D1063,1BK
FIRST POTOMAC RLTY TR.SBI,US33610F1093,FPY
FST REP.BK S.FR.NEW DL-01,US33616C1009,81R
"FIRST SOLAR INC. D -,001",US3364331070,F3A
"FIRSTCASH INC.     DL-,01",US33767D1054,FF6
"FISERV INC.        DL-,01",US3377381088,FIV
"FLAGSTAR BANC.    DL-,001",US3379307057,FL2P
FIRSTENERGY         DL 10,US3379321074,FE7
"FITBIT A         DL-,0001",US33812L1026,5FB
"FIVE BELOW INC.   DL -,01",US33829M1018,6F1
500.COM LTD C.A SP.ADR 10,US33829R1005,50CA
"FIVE9 INC.         DL-,01",US3383071012,1F9
"FIVE PRIME THERAP.DL-,001",US33830X1046,5P8
FIVE STAR QUALITY CARE,US33832D1063,FSQ
"FLEETCOR TECHS   DL -,001",US3390411052,07G
"FLEX PHARMA INC. DL-,0001",US33938A1051,FP1
"FLEXION THERAPEUT.DL-,001",US33938J1060,F02
FLEXIBLE SOLUTIONS DL-001,US33938T1043,FXT
"FLOTEK INDS INC. DL-,0001",US3433891021,F2I
"FLUOR CORP. (NEW)  DL-,01",US3434121022,FLU
"FLOWERS FOODS INC. DL-,01",US3434981011,FWF
"FLOWSERVE CORP.   DL 1,25",US34354P1057,FWV
"FLUIDIGM CORP.   DL -,001",US34385P1084,FLB
"FLUSHING FINL      DL-,01",US3438731057,FL8
"FLY LEASING ADR 1/DL-,001",US34407D1090,3BBB
"FOGO DE CHAO INC.  DL-,01",US3441771009,2S6
FOM.ECO.MEX.S.D.CV ADR/10,US3444191064,FOMA
"FONAR CORP. NEW  DL-,0001",US3444374058,FOAA
"FOOT LOCKER        DL-,01",US3448491049,WOO
"FORD MOTOR         DL-,01",US3453708600,FMC1
FORESIGHT ENERGY LP UTS,US34552U1043,FHR
FORESTAR GROUP INC.  DL 1,US3462331097,4F3
"FORM HLDGS CORP.   DL-,01",US34634E1029,V9G1
"FORMFACTOR INC.   DL-,001",US3463751087,FMF
FORMULA SYS 1985 ADR,US3464141056,FSY
"FORRESTER RESEAR.  DL-,01",US3465631097,FFR
FORTRESS INVT GRP A DL-01,US34958B1061,XEK
"FORTINET INC.     DL-,001",US34959E1091,FO8
"FORTIVE CORP.      DL-,01",US34959J1088,F03
FORT.TR.+IN.I.R.L.I.DL-01,US34960P1012,2FT
"FORTRESS BIOTECH  DL-,001",US34960Q1094,CNB
"FORTERRA INC      DL-,001",US34960W1062,05G
FORT.BRAND.HOME+SEC.INC.,US34964C1062,2FB
MYPHOTOALBUM INC. 144A,US34969P1021,FCT
"FORUM ENERGY TECH. DL-,01",US34984V1008,1FE
FORW.PHARMA A/S SP.ADR 1,US34986J1051,1FPA
"FOSSIL GROUP INC.  DL-,01",US34988V1061,FSL
"FOSTER,L.B. CO. A  DL-,01",US3500601097,LB1A
"FOUNDATION MEDIC.DL-,0001",US3504651007,8FM
"FOX FACTORY HLDG  DL-,001",US35138V1026,FF0
"FRANCESCAS HLDGS   DL-,01",US3517931040,6FC
"FRANKLIN EL.       DL-,10",US3535141028,FE4
"FRANKLIN RES INC.  DL-,10",US3546131018,FRK
FRANKLIN ST.PPTYS DL-0001,US35471R1068,WVH
FRED'S INC. A,US3561081007,FR1A
FREEPORT-MCMORAN INC.,US35671D8570,FPMB
"FREIGHTCAR AMER.   DL-,01",US3570231007,FAR
FRESENIUS MD.CARE ADR 1/2,US3580291066,FMEA
"FRESHPET INC.     DL-,001",US3580391056,7FP
FRESENIUS SE+CO. ADR 1/4,US35804M1053,FREA
"FRONTIER COMMUNIC. DL-,25",US35906A1088,YC5
"FUEL TECHS INC.    DL-,01",US3595231073,FUE1
"FUELCELL ENERGY  DL-,0001",US35952H5028,FEY1
FULLER -H.B. CO.     DL 1,US3596941068,HB1
"FULTON FINL CORP.  DL2,50",US3602711000,FU5
"FUNCTION(X) INC.  DL-,001",US36077T2078,11VN
"FUTUREFUEL CORP. DL-,0001",US36116M1062,3FF
"GATX CORP.        DL-,625",US3614481030,GAX
"GEO GROUP INC. DL -,01",US36162J1060,GEG
"GCP APPL.TECHN.   DL -,01",US36164Y1010,43G
GDS HLDGS LTD.CL.A ADR/8,US36165L1089,G40
"GNC HOLDINGS CL.A DL-,001",US36191G1076,IGN
"GSV CAPITAL CORP.  DL-,01",US36191J1016,0GV
GW PHARMACEUTICALS ADR/12,US36197T1034,GW2A
"GP STRATEGIES CORP DL-,01",US36225V1044,NPD
"G-III APPAREL GRP  DL-,01",US36237H1014,GI4
"GTT COMMUNICATIONS DL-,01",US3623931009,2G6
"GMS INC.        DL-,01",US36251C1036,CLG
GAFISA S.A.  ADR/2 O.N.,US3626073015,GJ3
GAIL (INDIA) GDR/6 IR 10,US36268T2069,GQI
"GAIN CAP.HLDGS  DL-,00001",US36268W1009,58G
"GAIA INC. A      DL-,0001",US36269P1049,GA6
GALAPAGOS N.V. ADR 1,US36315X1019,GXEA
"GALECTIN THERA.NEW DL-,01",US3632252025,PHPN
"GALENA BIOPHARMA DL-,0001",US3632565046,RXK1
"GALLAGHER , A.J.     DL 1",US3635761097,GAH
"GAMING PART. INTL  DL-,01",US36467A1079,PSG
GAMING + LEISURE PROP.,US36467J1088,2GL
GAMESTOP CORP. A,US36467W1099,GS2C
"GANNETT CO. INC.  DL-,01",US36473H1041,1G4
"GAP INC.           DL-,05",US3647601083,GAP
"GARTNER INC. DL -,0005",US3666511072,GGRA
"GAS NATURAL INC.  DL-,15",US3672041049,38G
"GASTAR EXPLORAT. DL -,001",US36729W2026,GXX
GAZPROM ADR SP./2 RL 5L 5,US3682872078,GAZ
GAZPROM NEFT ADR5/RL-0016,US36829G1076,SCF
GEELY AUTO.H.ADR/20 HD-02,US36847Q1031,GRUA
GEMALTO SP.ADR 1/2   EO 1,US36863N2080,LDVA
GENERAC HOLDINGS INC.,US3687361044,G84
"GENERAL CABLE CORP DL-,01",US3693001089,GCA
GENL COMMUNICATION INC. A,US3693851095,GC1
GENL DYNAMICS CORP.  DL 1,US3695501086,GDX
"GENL EL. CO.      DL -,06",US3696041033,GEC
"GENL GRWT.PROP.NEW DL-,01",US3700231034,GGC
"GENL MILLS        DL -,10",US3703341046,GRM
"GENERAL MOLY INC.  DL-,01",US3703731022,I3X
"GENERAL MOTORS     DL-,01",US37045V1008,8GM
GENESCO INC.         DL 1,US3715321028,GN8
GENESEE + WYOMING A,US3715591059,GNW
"GENESIS HEALTHC.A DL-,001",US37185X1063,SH11
"GENTEX CORP.       DL-,06",US3719011096,GTX
GENESIS ENERGY L.P.,US3719271047,GE3
"GENIE ENERGY LTD B DL-,01",US3722842081,6GE
"GENMARK DIAGNOST.DL-,0001",US3723091043,GNF
"GENOCEA BIOSCIENC.DL-,001",US3724271040,GBI
"GENOMIC HEALTH   DL-,0001",US37244C1018,G7H
GENUINE PARTS        DL 1,US3724601055,GPT
"GENVEC INC.       DL-,001",US37246C4069,GVC2
"GENWORTH FIL CL.A DL-,001",US37247D1063,GGK
GEOPETRO RES CO.,US37248H3049,G0C
GENTHERM INC. A,US37253A1034,QA4A
"GEOSPACE TECHS     DL-,01",US37364X1090,OYO
GERDAU S.A. PFD ADR 1,US3737371050,GDUA
GERMAN AMERICAN BANCORP,US3738651047,GAB
GERON CORP. (DEL.) DL-001,US3741631036,GON
"GETTY RLTY CORP.   DL-,01",US3742971092,GRL
"GEVO INC.          DL-,01",US3743963072,ZGV2
"GIBRALTAR INDS     DL-,01",US3746891072,GI2
GIGA-TRONICS,US3751751062,GGT
GIGAMON INC.,US37518B1026,NGM
"GIGPEAK INC.       DL-,01",US37518Q1094,GOT
"GILEAD SCIENCES   DL-,001",US3755581036,GIS
"GLACIER BANCORP    DL-,01",US37637Q1058,GLC
GLADSTONE CAPITAL CORP.,US3765351008,1G7
GLADSTONE INV.CORP.DL-001,US3765461070,1G3
"P.H. GLATFELTER    DL-,01",US3773161043,GLN
"GLAUKOS CORP.     DL-,001",US3773221029,6GJ
GLAXOSMITHKLINE SP. ADR/2,US37733W1053,GS7A
"GLENCORE PLC ADR 2 DL-,01",US37827X1000,8GCA
"GLOBAL BL.THERAP.  DL-,01",US37890U1088,G5B
"GLOBALSTAR INC. DL -,0001",US3789734080,P8S
GLOBAL PAYMENTS INC.,US37940X1028,GLO
"GLOBAL WATER RES   DL-,01",US3794631024,GGL
GLOBAL PARTNERS LP UTS,US37946R1095,G4K
GLOBALTRANS INV.GDR REG S,US37949E2046,G23A
"GLOBAL EAGLE ENT.DL-,0001",US37951D1028,G0E
GLOB.BRASS+CO.HLDGS DL-01,US37953G1031,6GB
GLOB.TELECOM HLDG GDR S/5,US37953P2020,OTC
"GLOBUS MED.A NEW DL -,001",US3795772082,GM0N
"GLU MOBILE INC. DL -,0001",US3798901068,F2P
GLYCOMIMETICS INC. DL-001,US38000Q1022,GKO
"GODADDY INC. CL.A DL-,001",US3802371076,38D
GOL LI.AE.I.PFD ADR 1 NEW,US38045R2067,GOQN
"GOGO INC.        DL-,0001",US38046C1099,G0G
"GOLD FIELDS ADR/1 RC-,50",US38059T1060,EDG
"GOLD RES CORP.    DL-,001",US38068T1051,GIH
"GOLDEN MINERALS CO.DL-,01",US3811191069,7GB
"GOLDFIELD CORP.    DL-,10",US3813701055,GFC
GOLDMAN SACHS GRP INC.,US38141G1040,GOS
"GOLDMAN SACHS BDC DL-,001",US38147U1079,GSB
"GOLUB CAPITAL BDC DL-,001",US38173M1027,OGL
GOODYEAR TIRE RUBBER,US3825501014,GTR
"GOPRO INC. A DL -,0001",US38268T1034,5G5
GORDMANS STORES INC.DL-01,US38269P1003,2G8
GOVT PPTYS INCOME TR. SBI,US38376A1034,GOK
"GRACE + CO., W.R. (DEL.)",US38388F1084,GRA
GRACO INC.           DL 1,US3841091040,GA8
GRAHAM HLDGS CO.,US3846371041,WPOB
GRAINGER (W.W.) INC. DL 1,US3848021040,GWW
"GRAMERCY PR.TR.NEW DL-,01",US3850023082,2C9N
GRANA Y MONTERO ADR/5,US38500P2083,GPAB
"GRAN TIERRA ENER. DL-,001",US38500T1016,G1P
GRAND CANYON EDUCAT. INC.,US38526M1062,GKD
"GRANITE CONSTR.    DL-,01",US3873281071,GRG
"GRAPHIC PACK.HLDG  DL-,01",US3886891015,4W8
GRAVITY CO.LTD ADR/2SW500,US38911N2062,GD8A
GRAY TELEVISION     DL-01,US3893751061,GCZB
"GREAT ELM CAP.GR.NEW-,001",US39036P2092,PNC1
GREAT LA.DR.+DO.NEW DL-01,US3906071093,5GL
GREAT PLAINS ENERGY INC,US3911641005,GPG
GREAT WESTERN BANCO.DL-01,US3914161043,2GW
"GREEN BRICK PART.  DL-,01",US3927091013,2G1
GREEN DOT CORP.CL.A DL-01,US39304D1028,5GN
GREEN PLAINS PART. UTS,US3932211069,8GP
GREEN PLAINS INC.,US3932221043,G3V
"GREENBRIER COS    DL-,001",US3936571013,G90
"GREENHILL + CO.INC.DL-,01",US3952591044,GH3
GREIF INC. CL.A,US3976241071,GR3
"GRIDSUM CL.B ADR  DL-,001",US3981321009,0GL
"GRIFFON CORP.      DL-,25",US3984331021,GFF
"GRIFOLS SP.ADR B EO-,10 1",US3984384087,G0FB
"GROUP 1 AUTOM.     DL-,01",US3989051095,GAV
"GROUPON INC. DL-,0001",US3994731079,G5N
GRUPO FIN. GALICIA  B ADR,US3999091008,GF4
"GRUBHUB INC.     DL-,0001",US4001101025,1GU
GRUPO SIM. S.A.B. B ADR/3,US4004911065,GSM
GRUPO TELEVISA ADR/5 CPO,US40049J2069,TLV
GR.AERO.D.CEN.NOR.B ADR/8,US4005011022,G7A
GRUPO AERO.D.PAC.B ADR/10,US4005061019,G9N
GRUPO AEROPORTU. B ADR/10,US40051E2028,AEDA
"GTX INC. (DEL.)    DL-,01",US40052B2079,GTU1
GRUMA SAB DE CV B ADR/5,US40053C1053,9FSA
GRUPO AV.ACC.V.ADR/20 KP1,US40053W1018,6GAA
GR.SUPERVIELLE B SP.ADR,US40054A1088,189A
GUANGSHEN RAILW. H ADR/50,US40065W1071,GRC
GUARANTY TRUST GDR REG S,US40124Q2084,37G1
"GUESS ? INC.       DL-,01",US4016171054,GU9
"GUIDANCE SOFTWARE  DL-,01",US4016921086,ZTT
"GUIDEWIRE SOFTWA.DL-,0001",US40171V1008,0GS
GULF ISLAND FABRICATION,US4023071024,GU2
"GULF RES INC.    DL-,0005",US40251W3097,R29A
"GULFMARK OFF.A NEW DL-,01",US4026292080,GU3A
"GULFPORT ENERGY    DL-,01",US4026353049,G2U
"H+E EQUIPMENT SERV.DL-,01",US4040301081,H6P
"HCA HOLDINGS INC.  DL-,01",US40412C1018,2BH
"HC2 HOLDINGS       DL-,01",US4041391073,PSTA
HCP INC.             DL 1,US40414L1098,HC5
HDFC BANK LTD ADR/3 IR 10,US40415F1012,HDFA
HCI GROUP INC. DL O.N.,US40416E1038,0H5
"HD SUPPLY HLDGS    DL-,01",US40416M1053,5HD
"HFF INC.     A    DL -,01",US40418F1084,H2L
HMG COURTLD PROP.    DL 1,US4042321004,H2M
HNI CORP.            DL 1,US4042511000,HO9
"HMS HOLDINGS CORP. DL-,01",US40425J1016,HMM
HMS HYDR.MA.+SYS GDR REGS,US40425X4079,H0H1
HSBC HLDGS PLC ADR/5DL-50,US4042804066,HBC2
"HSN INC.          DL -,01",US4043031099,HSM
HTC CORP. GDR REG S/4,US40432G2075,HTJ
"HRG GROUP INC.     DL-,01",US40434J1007,H22
"HP INC            DL -,01",US40434L1052,7HP
"HABIT RESTAURANT.A DL-,01",US40449J1034,0BN
"THE HACKETT GROUP DL-,001",US4046091090,AWT
"HAEMONETICS CORP.  DL-,01",US4050241003,HAZ
"HAIN CELESTIAL GRP DL-,01",US4052171000,HF1
"HALCON RES NEW   DL-,0001",US40537Q6052,RAQK
"HALLADOR ENERGY    DL-,01",US40609P1057,H7H
"HALLIBURTON CO.   DL 2,50",US4062161017,HAL
"HALOZYME THERAPEU.DL-,001",US40637H1095,RV7
"HALYARD HEALTH     DL-,01",US40650V1008,8HH
"HANCOCK HLDG CO.  DL 3,33",US4101201097,HH1
"HANESBRANDS INC.  DL -,01",US4103451021,HN9
"HANMI FINL NEW    DL-,001",US4104952043,HF7N
HANN.ARM.SUS.INF.CA.DL-01,US41068X1000,6HA
HANN.RUECKV.SE ADR 1/2/ON,US4106931052,HNRB
"HANOVER INSUR. GRP DL-,01",US4108671052,AF4
HANWHA Q CELLS CO. ADR/50,US41135V3015,M8U2
"HARLEY-DAVID.INC. DL -,01",US4128221086,HAR
"HARMAN INTL. IND.  DL-,01",US4130861093,HII
"HARMONIC          DL-,001",US4131601027,HMC
"HARMONY GD MNG ADRRC,-50",US4132163001,HAM
"HARRIS+HARRIS GRP. DL-,01",US4138331040,HH2
HARRIS CORP.         DL 1,US4138751056,HRS
"HARSCO CORP.      DL 1,25",US4158641070,HA7
HARTE-HANKS INC.     DL 1,US4161961036,HHK
HARTFORD FINL SVCS GRP,US4165151048,HFF
"HARVARD BIOSCIENCE DL-,01",US4169061052,HBI
"HARVEST NAT. NEW   DL-,01",US41754V2025,BNON
"HASBRO INC.        DL-,50",US4180561072,HAS
HAVERTY FURNITURE    DL 1,US4195961010,25F
HAWAIIAN EL. IND.,US4198701009,HWI
"HAWAIIAN HOLDINGS  DL-,01",US4198791018,1HW
"HAYNES INTL (NEW)  DL-,01",US4208772016,HYVN
HEALTHCARE SVCS GRP.DL-01,US4219061086,HS1
HEALTHSOUTH CORP.,US4219243098,HSOA
HEALTHCARE RLTY TR. DL-01,US4219461047,HR6
"HEADWATERS        DL-,001",US42210P1021,CV6
"HEALTHSTREAM INC.  DL-,01",US42222N1037,HL5
HEALTHCARE TR.OF AMER. A,US42225P5017,HT01
"HEALTHEQUITY INC.DL-,0001",US42226A1079,2HE
"HEARTLAND EXPRESS  DL-,01",US4223471040,HLX
"HEAT BIOLOGICS   DL-,0002",US42237K1025,1HB
"HECLA MNG          DL-,25",US4227041062,HCL
"HEICO CORP.        DL-,01",US4228061093,HC1
HEIDELBERGCEM.UN.ADR 1/5/,US42281P2056,HEIU
HEINEKEN SP. ADR 1/2,US4230123014,HNK2
HELIOS+MATHE.ANALYT.DL-01,US42327L2007,QCLN
HELIUS MEDICAL TECHNOLOG.,US42328V1089,26H
HELIX ENERGY SOLUTIONS,US42330P1075,CTV
HELLENIC TELEC.ORG.ADR1/2,US4233253073,OTES
"HELMERICH PAYNE    DL-,10",US4234521015,HPC
HEMISPHERX BIOPHARMA,US42366C3016,HXB1
"JACK HENRY + ASS. DL -,01",US4262811015,JHY
"HERC HOLDINGS INC. DL-,01",US42704L1044,H9B1
"HERCULES CAP INC. DL-,001",US4270965084,19H
"HERITAGE GLOBAL   DL-,007",US42727E1038,LGC
"HERON THERAPEUTICS DL-,01",US4277461020,AXD2
HERSHA HOSPIT.TR. SBI A,US4278255009,H3U1
HERSHEY CO.          DL 1,US4278661081,HSY
HERZFELD CARIBB. BAS. FD,US42804T1060,HEC
"HESKA RESTR. NEW DL-,001",US42805E3062,HSKN
HERTZ GLOBAL HOLDING INC.,US42806J1060,AZK
HESS CORP.           DL 1,US42809H1077,AHC
HEWLETT PACKARD ENT.,US42824C1099,2HP
"HEXCEL CORP.      DL-,01",US4282911084,HXL
HI-CRUSH PARTNERS UTS,US4283371098,HCU
"HHGREGG INC.    DL -,0001",US42833L1089,31H
HIBBETT SPORTS INC. DL-01,US4285671016,HB6
HIGHPOWER INT.NEW DL-0001,US43113X1019,HKN
"HIGHWOODS PROP.    DL-,01",US4312841087,HQS
"HILL INTL INC.   DL-,0001",US4314661012,HLZ
HILL-ROM HOLDINGS INC.,US4314751029,HB9
HILLENBRAND IND.,US4315711089,9HI
"HILLTOP HLDGS INC. DL-,01",US4327481010,WXF
HILTON GRAND VACAT. DL-01,US43283X1054,HIE
HIMAX TECH.INC. ADR 1,US43289P1066,H6Q
HILTON WORLDW.HLDGS DL-01,US43300A2033,HI91
HITACHI LTD ADR/10,US4335785071,HIAA
"HISTOGENICS CORP. DL-,001",US43358V1098,2H5
HOLLY ENERGY PART. L.P.,US4357631070,HHN
"HOLLYFRONTIER CORP.DL-,01",US4361061082,HL8
"HOLOGIC INC.       DL-,01",US4364401012,HO1
